,Counts,Date
0,24,2017-09-26
1,116,2017-09-27
2,233,2017-09-28
3,205,2017-09-29
4,132,2017-09-30
5,79,2017-10-01
6,109,2017-10-02
7,151,2017-10-03
8,79,2017-10-04
9,62,2017-10-05
10,89,2017-10-06
11,45,2017-10-07
12,33,2017-10-08
13,58,2017-10-09
14,31,2017-10-10
15,10,2017-10-11
16,118,2017-10-12
17,246,2017-10-13
18,170,2017-10-14
19,143,2017-10-15
20,196,2017-10-16
21,226,2017-10-17
22,99,2017-10-18
23,120,2017-10-19
24,247,2017-10-20
25,206,2017-10-21
26,184,2017-10-22
27,218,2017-10-23
28,233,2017-10-24
29,253,2017-10-25
30,269,2017-10-26
31,226,2017-10-27
32,193,2017-10-28
33,136,2017-10-29
34,237,2017-10-30
35,274,2017-10-31
36,232,2017-11-01
37,255,2017-11-02
38,221,2017-11-03
39,175,2017-11-04
40,166,2017-11-05
41,199,2017-11-06
42,208,2017-11-07
43,265,2017-11-08
44,207,2017-11-09
45,202,2017-11-10
46,186,2017-11-11
47,164,2017-11-12
48,187,2017-11-13
49,213,2017-11-14
50,210,2017-11-15
51,208,2017-11-16
52,230,2017-11-17
53,198,2017-11-18
54,147,2017-11-19
55,188,2017-11-20
56,212,2017-11-21
57,214,2017-11-22
58,89,2017-11-23
59,166,2017-11-24
60,119,2017-11-25
61,122,2017-11-26
62,197,2017-11-27
63,247,2017-11-28
64,239,2017-11-29
65,218,2017-11-30
66,245,2017-12-01
67,189,2017-12-02
68,156,2017-12-03
69,223,2017-12-04
70,201,2017-12-05
71,331,2017-12-06
72,265,2017-12-07
73,247,2017-12-08
74,185,2017-12-09
75,123,2017-12-10
76,215,2017-12-11
77,197,2017-12-12
78,191,2017-12-13
79,206,2017-12-14
80,240,2017-12-15
81,230,2017-12-16
82,140,2017-12-17
83,229,2017-12-18
84,229,2017-12-19
85,211,2017-12-20
86,233,2017-12-21
87,214,2017-12-22
88,138,2017-12-23
89,89,2017-12-24
90,60,2017-12-25
91,137,2017-12-26
92,153,2017-12-27
93,152,2017-12-28
94,161,2017-12-29
95,129,2017-12-30
96,141,2017-12-31
97,93,2018-01-01
98,272,2018-01-02
99,202,2018-01-03
100,178,2018-01-04
101,209,2018-01-05
102,141,2018-01-06
103,116,2018-01-07
104,188,2018-01-08
105,207,2018-01-09
106,183,2018-01-10
107,227,2018-01-11
108,217,2018-01-12
109,167,2018-01-13
110,124,2018-01-14
111,189,2018-01-15
112,154,2018-01-16
113,207,2018-01-17
114,165,2018-01-18
115,205,2018-01-19
116,162,2018-01-20
117,139,2018-01-21
118,218,2018-01-22
119,189,2018-01-23
120,175,2018-01-24
121,189,2018-01-25
122,204,2018-01-26
123,192,2018-01-27
124,143,2018-01-28
125,184,2018-01-29
126,171,2018-01-30
127,183,2018-01-31
128,200,2018-02-01
129,232,2018-02-02
130,143,2018-02-03
131,152,2018-02-04
132,181,2018-02-05
133,211,2018-02-06
134,169,2018-02-07
135,210,2018-02-08
136,202,2018-02-09
137,147,2018-02-10
138,98,2018-02-11
139,156,2018-02-12
140,163,2018-02-13
141,226,2018-02-14
142,213,2018-02-15
143,196,2018-02-16
144,163,2018-02-17
145,124,2018-02-18
146,171,2018-02-19
147,117,2018-02-20
148,154,2018-02-21
149,122,2018-02-22
150,151,2018-02-23
151,149,2018-02-24
152,113,2018-02-25
153,121,2018-02-26
154,98,2018-02-27
155,121,2018-02-28
156,127,2018-03-01
157,161,2018-03-02
158,49,2018-03-03
159,53,2018-03-04
160,117,2018-03-05
161,186,2018-03-06
162,214,2018-03-07
163,245,2018-03-08
164,226,2018-03-09
165,231,2018-03-10
166,175,2018-03-11
167,197,2018-03-12
168,156,2018-03-13
169,185,2018-03-14
170,192,2018-03-15
171,268,2018-03-16
172,185,2018-03-17
173,174,2018-03-18
174,205,2018-03-19
175,231,2018-03-20
176,223,2018-03-21
177,235,2018-03-22
178,250,2018-03-23
179,182,2018-03-24
180,163,2018-03-25
181,207,2018-03-26
182,232,2018-03-27
183,184,2018-03-28
184,262,2018-03-29
185,207,2018-03-30
186,186,2018-03-31
187,140,2018-04-01
188,188,2018-04-02
189,235,2018-04-03
190,226,2018-04-04
191,205,2018-04-05
192,248,2018-04-06
193,163,2018-04-07
194,125,2018-04-08
195,181,2018-04-09
196,190,2018-04-10
197,211,2018-04-11
198,216,2018-04-12
199,323,2018-04-13
200,255,2018-04-14
201,165,2018-04-15
202,210,2018-04-16
203,212,2018-04-17
204,215,2018-04-18
205,227,2018-04-19
206,245,2018-04-20
207,184,2018-04-21
208,151,2018-04-22
209,247,2018-04-23
210,203,2018-04-24
211,260,2018-04-25
212,204,2018-04-26
213,215,2018-04-27
214,210,2018-04-28
215,173,2018-04-29
216,220,2018-04-30
217,207,2018-05-01
218,216,2018-05-02
219,196,2018-05-03
220,394,2018-05-04
221,195,2018-05-05
222,171,2018-05-06
223,204,2018-05-07
224,225,2018-05-08
225,218,2018-05-09
226,240,2018-05-10
227,286,2018-05-11
228,200,2018-05-12
229,139,2018-05-13
230,226,2018-05-14
231,241,2018-05-15
232,268,2018-05-16
233,265,2018-05-17
234,257,2018-05-18
235,177,2018-05-19
236,83,2018-05-20
237,181,2018-05-21
238,216,2018-05-22
239,212,2018-05-23
240,222,2018-05-24
241,260,2018-05-25
242,189,2018-05-26
243,113,2018-05-27
244,154,2018-05-28
245,245,2018-05-29
246,214,2018-05-30
247,227,2018-05-31
248,249,2018-06-01
249,199,2018-06-02
250,89,2018-06-03
251,317,2018-06-04
252,201,2018-06-05
253,213,2018-06-06
254,183,2018-06-07
255,208,2018-06-08
256,67,2018-06-09
257,139,2018-06-10
258,199,2018-06-11
259,119,2018-06-12
260,242,2018-06-13
261,229,2018-06-14
262,220,2018-06-15
263,222,2018-06-16
264,141,2018-06-17
265,226,2018-06-18
266,275,2018-06-19
267,170,2018-06-20
268,191,2018-06-21
269,187,2018-06-22
270,172,2018-06-23
271,142,2018-06-24
272,237,2018-06-25
273,226,2018-06-26
274,221,2018-06-27
275,207,2018-06-28
276,255,2018-06-29
277,177,2018-06-30
278,145,2018-07-01
279,232,2018-07-02
280,181,2018-07-03
281,194,2018-07-04
282,107,2018-07-05
283,153,2018-07-06
284,172,2018-07-07
285,110,2018-07-08
286,260,2018-07-09
287,189,2018-07-10
288,211,2018-07-11
289,219,2018-07-12
290,214,2018-07-13
291,182,2018-07-14
292,182,2018-07-15
293,179,2018-07-16
294,200,2018-07-17
295,229,2018-07-18
296,237,2018-07-19
297,225,2018-07-20
298,197,2018-07-21
299,168,2018-07-22
300,201,2018-07-23
301,217,2018-07-24
302,197,2018-07-25
303,189,2018-07-26
304,158,2018-07-27
305,178,2018-07-28
306,122,2018-07-29
307,239,2018-07-30
308,228,2018-07-31
309,225,2018-08-01
310,262,2018-08-02
311,243,2018-08-03
312,186,2018-08-04
313,136,2018-08-05
314,201,2018-08-06
315,236,2018-08-07
316,247,2018-08-08
317,224,2018-08-09
318,224,2018-08-10
319,219,2018-08-11
320,184,2018-08-12
321,213,2018-08-13
322,118,2018-08-14
